File,Total Reads,Average GC %,Average Length,Average Q20 %,Average Q30 %,Class
SRR37278448.fastq,208145,48.38608567185565,21.657998030219318,100.0,100.0,case
SRR37278456.fastq,193237,46.71486237806296,21.628399323110997,100.0,100.0,case
SRR37278461.fastq,348467,49.3361172896378,21.617016819383185,100.0,100.0,case
SRR37278462.fastq,450444,51.1743996426099,21.64691726385522,100.0,100.0,case
SRR37278463 (1).fastq,172641,49.59166972421047,21.662258675517403,100.0,100.0,case
SRR37278447.fastq,569188,49.205974165198285,21.74733655663858,100.0,100.0,control
SRR37278450.fastq,233729,50.21434058511293,21.669724338871085,100.0,100.0,control
SRR37278458.fastq,4847681,46.47938966072881,21.548377873874127,100.0,100.0,control
SRR37278459.fastq,338938,49.913175258034634,21.650726681575982,100.0,100.0,control
SRR37278460.fastq,458778,52.29883890624072,21.584921247313517,100.0,100.0,control
